Type,Category,Question,Answer
Consumer,My Account and Technical Issues,I can’t log-in to my account or I haven’t received the email with my log-in code.,"Check the spelling of your email address.

Check your junk folder. 

If after 2 minutes you haven’t received the code, press Resend."
Consumer,My Account and Technical Issues,"I cannot access my Home Health Check or something is not working, what do I do?","If the report does not appear to work, you can refresh the page by pulling down on the screen.

If you continue to have issues please contact Homehealth@checkatrade.com
"
Consumer,My Account and Technical Issues,I'm not receiving notifications from the Checkatrade app.,"Make sure that you've enabled push notifications for the Checkatrade app.

On iOS, visit:

Settings > Notifications > Checkatrade > and then turn on ‘Allow Notifications’.

On Android, visit:

Settings > Notifications > App settings > All apps > Checkatrade > and then turn notifications on.
"
Consumer,My Account and Technical Issues,How will the Home Health Report help homeowners with preventive maintenance?,"The Home Health Report offers a checklist of preventive maintenance tasks, such as cleaning gutters, checking smoke alarms, and servicing heating systems, to help homeowners avoid costly repairs and keep their properties in good condition."
Consumer,My Account and Technical Issues,How secure is the data I share with Checkatrade?,"All images and information you provide are stored securely and treated with the utmost confidentiality to protect your privacy.
"
Consumer,My Account and Technical Issues,How do you calculate the cost of the recommended jobs?,"The cost ranges are based on feedback from tradespeople, surveyors and jobs that have been completed through Checkatrade. We look to constantly improve and enhance the output so you may see some changes over time.

"
Consumer,My Account and Technical Issues,How do I use the new home analysis tool?,"Visit homehealth.checkatrade.com and provide property details and your email address. You will need to be at home or have access to pictures of the inside and outside of your property from your device, if you have floorplans then those can be uploaded too. Home Health Check works best from a mobile device.
"
Consumer,My Account and Technical Issues,How do I send feedback about the website or the app?,"We love feedback about ways to improve our experience. Please email these suggestions to reception@checkatrade.com
"
Consumer,My Account and Technical Issues,How do I download the app?,"To download our Checkatrade app, visit the Apple App Store or Google Play Store.
"
Consumer,My Account and Technical Issues,How do I delete my Checkatrade account?,"On the website - go to “Account” tab within your account which can be found here. Then select ‘Close account’ and follow the next steps.

On the app - go to the ‘Profile' tab, select Account then press 'Delete your account’ and follow the next steps.
"
Consumer,My Account and Technical Issues,"How does the tool assess safety concerns such as gas safety, electrical safety, and damp issues?","The tool asks homeowners for basic property details and uses third-party data sources, as well as user inputs, to identify common safety concerns like faulty wiring, or moisture problems. It flags these issues and recommends professional checks where necessary.
"
Consumer,My Account and Technical Issues,How does the Home Health Report estimate the value of the property?,"The value estimate is based on variables including past sale records, local price indices, local area values, council tax records, local facilities and property features and then verifies against other recent sales.
"
Consumer,My Account and Technical Issues,How does the Home Health Report contribute to Checkatrade’s differentiation in the market?,"The Home Health Report helps our consumers understand how to maintain their homes, make them more efficient and add value. Checkatrade is well positioned to help consumers understand the need, outline the job to be done and provide an estimate of the cost to give confidence when talking to trades and getting quotes.
"
Consumer,My Account and Technical Issues,How does the Home Health Report calculate potential property value increases from recommended improvements?,"The tool uses property data, local market trends, and expert recommendations to estimate how suggested improvements—such as upgrading insulation or installing solar panels—could impact a home’s value.

"
Consumer,My Account and Technical Issues,How does Checkatrade ensure the tradespeople recommended through the tool are reliable and vetted?,"All tradespeople recommended via Home Health Report are sourced from the existing Checkatrade platform, ensuring they are fully vetted based on reviews, qualifications, and insurance checks.
"
Consumer,My Account and Technical Issues,How can homeowners improve their property score?,"You can improve your property score by updating the recent tasks completed (e.g. recently cleaned gutters) and by staying on top of your ongoing property maintenance. Complete smaller tasks like checking your smoke and carbon monoxide alarms to build up your score.

You can make huge strides in improving your property score by adding (or confirming) loft insulation, electric charging points and solar panels."
Consumer,My Account and Technical Issues,How can estate agents benefit from this tool?,"Estate agents can offer these reports as a value-added service to help potential buyers understand the maintenance or improvement needs of properties, potentially speeding up the decision-making process.

"
Consumer,My Account and Technical Issues,"Does the Home Health Report feature personalised notifications, reminders, or alerts for home maintenance?","Yes, homeowners will receive notifications for scheduled tasks, such as servicing a boiler, or seasonal reminders, like cleaning gutters, to ensure ongoing property care.
"
Consumer,My Account and Technical Issues,Can I use this report when buying a new property?,"Absolutely! Our tool is an excellent resource for potential homebuyers, providing a clear picture of what maintenance or improvements a property will require. We're exploring partnerships with estate agents to include these reports in the home-buying process.
"
Consumer,My Account and Technical Issues,Can I update the information about my property?,"Yes. Although not available on day one, we will provide the ability to edit the data for your property to ensure the information provided is accurate and relevant.
"
Consumer,My Account and Technical Issues,Can Home Health Check request the job for me?,"Yes. You are able to request a local, trusted Checkatrade trade to help you complete the job.

Just click on the ‘find a trade’ button and you will be taken to a list of trades who can support your job. In the future you will be able to automatically submit the job using the Home Health Report. 
"
Consumer,My Account and Technical Issues,How does the Home Health Report differentiate from other home management tools currently available in the market?,"The Home Health Report offers a unique combination of personalised property insights, safety checks, energy efficiency recommendations, and direct access to trusted, vetted tradespeople. Its integration with Checkatrade's existing platform ensures that users can easily find trusted professionals, access financing options, and get ongoing maintenance reminders."
Consumer,My Jobs,Why should I get a drone survey instead of a traditional roof inspection?,"Safer – No need for ladders or scaffolding.
More Affordable – Traditional roof inspections can cost £200–£500+, while ours starts from just £99.
Faster – Most surveys are completed within an hour.
More Accessible – We can inspect areas that are difficult to reach manually.
Please visit roof-survey.checkatrade.com for more details on how to register for a Drone Survey. "
Consumer,My Jobs,Where is the Checkatrade Drone Survey available?,"Newcastle (NE postcodes)
Reading (RG postcodes)
Oxford (OX postcodes)
Please visit roof-survey.checkatrade.com for more details on how to register for a Drone Survey. "
Consumer,My Jobs,What is the Checkatrade Drone Survey?,"The Checkatrade Drone Survey is an affordable way to get high-quality aerial images of your roof and an AI-generated report highlighting potential issues—all from just £99+VAT. The survey is conducted by licensed drone pilots, and the results help homeowners understand the condition of their roof.

Please visit roof-survey.checkatrade.com for more details on how to register for a Drone Survey. "
Consumer,My Jobs,What if my Drone Survey report finds an issue with my roof?,"If your survey highlights concerns, you’ll be directed to vetted roofers on Checkatrade who can provide quotes for any necessary work.

Please visit roof-survey.checkatrade.com for more details on how to register for a Drone Survey. 
"
Consumer,My Jobs,Is the Drone Survey a professional surveyor’s report?,"No, this is not a professional survey. The AI-generated report provides insights into the condition of your roof, but for structural assessments or legal requirements, we recommend consulting a chartered surveyor.

"
Consumer,My Jobs,How often should I get a roof check?,"It is recommended to have two roof inspections per year—once before and once after winter—to catch any potential problems early.

Please visit roof-survey.checkatrade.com for more details on how to register for a Drone Survey. 
"
Consumer,My Jobs,How much does a Checkatrade Drone Survey cost?,"Prices start from £99+VAT, making it one of the most cost-effective ways to check your roof.

The final price may vary depending on the size and complexity of the roof.

Please visit roof-survey.checkatrade.com for more details on how to register for a Drone Survey. "
Consumer,My Jobs,Can I become a drone pilot for Checkatrade Drone Surveys?,"If you are a licensed drone pilot and would like to be considered for our program, please visit roof-survey.checkatrade.com for more details on how to apply.

"
Consumer,My Jobs,I’ve contacted a trade but haven’t received a reply?,"If you haven’t received a reply, you should try messaging the trade again.

If you still don’t receive a response, you can send your job out to more trades at any time by:

Within My Jobs
Tap the three dots (...) next to your job
Select Add more trades."
Consumer,My Jobs,"I need to contact more trades, how can I do this?","You are able to send your job out to more trades at any time by taping the three dots next to your job in the ‘My Jobs’ tab and then selecting ‘Add more trades'. If you send to multiple trades, you are more likely to get your job done.

"
Consumer,My Jobs,"I don’t want to proceed with a trade, what should I do?","Go to the ‘My Jobs’ tab and select the job and trade you no longer want to proceed with. Press the 3 dots next to the trade’s name, select 'withdraw request' and follow the next steps.

"
Consumer,My Jobs,How long should I usually expect to wait before a trade replies to my message?,"Most trades respond within 1-2 working days.

If you haven’t received a reply, you can message the trade again from the chat.

If you still don’t receive a response, you can send your job out to more trades at any time by tapping the three dots next to your job and then selecting ‘Add more trades’."
Consumer,My Jobs,How do I cancel an appointment or job that I have with a trade?,"To cancel an appointment, send a message to the trade and they can cancel the appointment for you.

"
Consumer,My Jobs,How can I remove my job from other trades now I have agreed a quote with someone?,"If you have had a conversation with a trade, happy with your quote and agreed to book the job, you can remove the job from other trades by:

Tapping My jobs
Tapping the three dots (...) next to the trade you wish to remove your job from
Tapping Withdraw request
This will remove your job from that trade and you will have to repeat this action if there are multiple trades you wish to remove the job from.

"
Consumer,My Jobs,Can I edit or delete a message to a trade?,"Yes. Go to the ‘Inbox’ tab of your account and select the trade where you want to delete the message. Hold down on the message until the menu comes up then select “Edit message” or “Delete message.

You can do this for 15 minutes after the message was sent."
Consumer,My Jobs,Can I block or report trades if I receive inappropriate or abusive messages?,"Yes. If you're receiving inappropriate or abusive messages, follow these steps to block and report the trade:

While in your chat with the trade, click the three dots in the top right corner
Select Block and report tradesperson
The safety and security of you and your messages matter to us. We will investigate the case and will stop messages being sent."
Consumer,My Jobs,How do I close or delete a job?,"You can close a job by going to the 'My Jobs' tab, selecting the job you want to close and pressing the 3 dots at the top right of the screen. Then select “Close the job” from the menu options and follow the next steps.

You are unable to delete a job as we make sure to keep them for your reference."
Consumer,Payments,Will I still qualify for the Checkatrade Guarantee if I file a chargeback?,"No, if you file a chargeback, you will no longer be eligible for our Guarantee.
"
Consumer,Payments,Will I receive a refund during the chargeback process?,"During the chargeback process, your bank may temporarily refund the money to you. However, please keep in mind that this refund comes from your bank, not from Checkatrade or the tradesperson.

"
Consumer,Payments,Who is Adyen?,"We’ve partnered with Adyen, a global financial technology provider, to provide payment processing services.

"
Consumer,Payments,Which tradespeople can I pay via Checkatrade?,"Tradespeople that accept payments via Checkatrade will display the Pay via Checkatrade badge on their profile. In the coming months, we will increase the number of tradespeople available, allowing you to use this payment method for a wider range of services.

"
Consumer,Payments,What will happen after I file a chargeback?,"Once you file a chargeback, Checkatrade will conduct an investigation and work with the tradesperson to challenge the chargeback if we believe it's not valid. If your bank determines that the original transaction was valid, the chargeback will be reversed, and any temporary refund will be deducted from your account.

"
Consumer,Payments,What types of cards can I use to pay tradespeople on Checkatrade?,"You can pay with Mastercard or Visa debit and credit cards.

"
Consumer,Payments,What should I do if the payment request I received differs from the quote I was given?,"If a payment request doesn’t match the quote, check for any additional charges or services that weren't discussed. If the difference is still unclear, contact your tradesperson to discuss and resolve the issue.

"
Consumer,Payments,What name will appear on my bank statement?,"Your bank statement will show the name of the tradesperson you paid. It may differ slightly from their business name on Checkatrade, depending on how their bank account is registered. If you have any questions about this, it’s best to contact the tradesperson directly.

"
Consumer,Payments,What is Checkatrade’s service fee for homeowners?,"We are always exploring new ways to improve Checkatrade for our customers. As part of this, we are currently trialling the ability for customers to pay tradespeople directly through Checkatrade. In exchange for this convenience and additional support, a small service fee will apply when paying via our platform. The fee covers secure payment processing and access to customer support for any issues related to the work.

You'll see this fee once a tradesperson involved in the trial issues a payment request. Checkatrade remains free to use for finding and contacting vetted tradespeople.

The service fee is based on the value of the job you have had done and is displayed at checkout. Keep in mind that Checkatrade reserves the right to change this fee in accordance with our terms of service."
Consumer,Payments,What information do you hold about me and my Checkatrade jobs?,"We store your name, address, contact information, and relevant job details. We follow strict privacy policies that limit who can access your information and ensure it’s only used for the intended purpose. See our Privacy Policy.

"
Consumer,Payments,What happens if I file a chargeback?,"If you file a chargeback, you will need to work directly with your bank and follow their procedures. Once a chargeback is started, Checkatrade will be unable to assist you further, and you will forfeit eligibility for our Guarantee.

"
Consumer,Payments,What happens if I don't pay the tradesperson on time?,"If you don't pay the tradesperson by the due date set out in the payment request, Checkatrade will send you reminders before, on, and after the due date. It's important to pay on time to avoid any issues.

"
Consumer,Payments,How long do I have to pay a tradesperson?,"When you receive a payment request from a tradesperson, it will clearly indicate the due date for payment.

"
Consumer,Payments,How do I know the payment request I received is genuine?,"Payment requests for jobs completed through Checkatrade will always be sent through the chat feature in the Checkatrade app or on our website (as shown below). If you receive a request from any other source, it’s a good idea to verify it with the tradesperson.
"
Consumer,Payments,How can I request a refund for work completed in my home?,"Refunds are at the discretion of the tradesperson who provided the service, and Checkatrade does not handle or determine refunds.

Please discuss any issues directly with the tradesperson. If they are unable to resolve the problem, you can use Checkatrade’s standard complaints process.

"
Consumer,Payments,How can I get a VAT invoice?,"Your tradesperson can provide a VAT invoice for the work they’ve done. If you haven’t received one, you can message them via the Checkatrade app to request it.

If you need a VAT invoice related to the Checkatrade service fee, please visit the contact form on our support page."
Consumer,Payments,How can I easily pay a tradesperson via Checkatrade?,"Paying for your job is simple and secure with Checkatrade. The tradesperson will send you a payment request, and you can pay securely using your debit or credit card. We’ll also send you a reminder when it’s time to make the payment.

Here’s how to make a payment:

The tradesperson will share a payment link with you through the chat

Review and carefully check the payment details.

Tap Pay now to complete the payment"
Consumer,Payments,A tradesperson has agreed to a refund. When can I expect to receive it?,"If your tradesperson has confirmed the refund, they will process it through Checkatrade. They will notify you once it has been completed, and you can check the status in the app. Refunds typically take two working days to process, but they may take longer depending on your bank.

"
Consumer,Payments,Are service fees included in refunds?,"Yes, if a tradesperson issues you a full refund, we will also refund the service fee you paid, including any VAT.

If you receive a partial refund from the tradesperson, we will refund a proportional amount of our service fee based on the refund you received."
Consumer,Payments,How long does the chargeback process take?,"The chargeback process can take up to 90 days to resolve, depending on your bank. If you have any questions, it’s best to contact your bank directly.

"
Consumer,Payments,What do the different payment statuses mean?,"Requested: A payment has been requested by the trade.
Processing: Your payment is being processed.
Paid: You’ve paid the trade for the job.
Cancelled: The trade has cancelled the payment request.
Overdue: The due dates has passed and you haven't paid yet.
Expired: The payment link has expired.
Refunded: The payment has been refunded to you.
Chargeback: You’ve disputed the payment, resulting in a chargeback. The payment has been reversed and returned to you by the card issuer or issuing bank."
Consumer,Payments,Do you store my card details?,"No, we do not keep your payment card details on file.
"
Consumer,Resolving Issues,What is the Checkatrade Guarantee?,"A helping hand if things go wrong. When you contact or pay a trade through Checkatrade, you’re covered by our 12-month guarantee of up to £1,000*.

How the Checkatrade Guarantee works:
Contact a tradesperson through Checkatrade to register your job.

       OR

Pay securely via Checkatrade Pay-no matter where you found your tradesperson**. 

 

*Other eligibility criteria and T&Cs apply.

**For customers in Scotland, payment for the work must be made via Checkatrade Pay.
"
Consumer,Resolving Issues,How to make a complaint,"We take great pride in the products and services we offer both trades and consumers.  However, we understand that sometimes issues arise, and we’re here to help if they do. 

We value all feedback - as it helps us improve your experience. So, whether you’re a trade or consumer and you need to make a complaint, here’s what you need to know: 

How to make a complaint
Online using the Complaint Form at the bottom of this page 

Write to us at: Checkatrade, Focus Point, 21 Caledonian Road, London, N1 9GB 

Call us on: 0333 014 6190 

Information for consumers making a complaint
Tradespeople on Checkatrade are expected to handle complaints professionally and responsibly – and we recommend you contact them directly to try and resolve your issue first. Our How to resolve an issue with a trade guide could help with this. 

If you're unable to resolve the issue directly with the tradesperson, please contact us using the ‘How to make a complaint’ section above and we’ll look into it.  

We can’t force a trade to act, but we can investigate and decide whether they continue to meet our standards for remaining on our platform. All complaints are reviewed in line with our complaints handling procedure – depending on the seriousness of the complaint. We may contact both the trade and consumer to request supporting evidence such as quotes, invoices, proof of payment and photos to assess the trade's compliance with our standards. We could then: 

Provide guidance to trades. 

Restrict or, in serious cases, remove them from Checkatrade according to our Deactivation and Sanctions Policy. 

Limit the trade’s activity on our platform during the investigation.   

As a platform, we don’t get directly involved in resolving disputes between trades and consumers, and we don’t offer a formal mediation or dispute resolution service. Instead, we believe the best outcomes come from open, honest, and respectful communication between both parties. We encourage consumers and trades to talk to each other directly, giving each side the chance to explain, clarify, or resolve any misunderstandings. In our experience, most issues can be worked out when both parties are willing to listen and engage constructively. While we’re not here to take sides, we do believe in fostering a fair and balanced space where everyone’s voice can be heard — and that starts with open conversation. 

Further support
If the trade you’ve contacted is not responding, or your issue remains unresolved, you could look at the following options: 

Consider leaving a review of the trade that follows our guidelines to share your experience with other consumers. 

Speak to the Citizens Advice Consumer Helpline on 0808 223 1133 or visit citizensadvice.org.uk and they can support with free legal advice. 

Contact your bank or insurance provider to see if they can support you with retrieving funds in the event of fraud or faulty work. 

Report a trade to Trading Standards if you believe a trade has broken the law or acted unfairly. Trading Standards work in partnership with Citizens Advice – and they aim to investigate unfair or illegal business activity and stop them operating. 

Report them to or contact their governing body or provider of accreditation service – such as Gas Safe or NAPIT.   

Make a claim on their Public Liability Insurance if you think this may be an option available to you – we can help you with those details or you can request them from the tradesperson directly. 

Report them to the police. Bad practice may mean fraud or theft, so it's worth reporting this if you believe they have acted illegally or you’re feeling unsafe. For more details on fraud, visit Action Fraud.  

Consider Making a Money Claim online via HM Courts & Tribunals Service for small claims.  

Contact your bank or insurance provider to see if they can support you with retrieving funds in the event of fraud or faulty work. 

If you need urgent help, contact the Financial Ombudsman Service. They can support if you’re vulnerable or in with financial difficulty. "
Consumer,Resolving Issues,How do I resolve a problem with a Checkatrade trade?,"See our detailed advice for how to resolve issues with Checkatrade trades here.
"
Consumer,Resolving Issues,Can I block or report trades if I receive inappropriate or abusive messages?,"Yes. If you're receiving inappropriate or abusive messages, follow these steps to block and report the trade:

While in your chat with the trade, click the three dots in the top right corner
Select Block and report tradesperson
The safety and security of you and your messages matter to us. We will investigate the case and will stop messages being sent."
Tradesperson,Billing,Where can I update my Direct Debit bank details?,"If you're set up to pay for your membership by Direct Debit, you can update your bank details in the My Billing section of the Members Area at any time.

You can also reinstate a cancelled Direct Debit by providing the bank information via the same link. It is important to update these as quickly as possible so that your Direct Debit payments can still be collected and to avoid effecting your profile visibility on the Checkatrade site. 

If you wish to change the date that your Direct Debit is collected, please contact us via the Contact Form at the bottom of this page with your request. 

"
Tradesperson,Billing,Why have I been contacted by an external debt collection agency?,"If your membership has accrued arrears/debt due to non-payment of your membership fees, your debt may now have been passed onto an external debt collection agency acting on our behalf to recover the debt.

It's very important you contact this agency at your earliest convenience, please refer to the contact details on their correspondence to get in touch with them."
Tradesperson,Billing,Why do I need an active payment method in place?,"As per the terms and conditions of your membership, all members need to have an active means of payment on their account. This can either be direct debit mandate or a recurring card payment. To set this up, please call our Income Team on 02394 212 561. 

If you do not have an active means of payment, you could run the risk of being removed from the consumer searches.  

"
Tradesperson,Billing,Where can I view my invoices?,Your invoices are all stored in the app so that you can access them anytime. Log in today and navigate to ‘My Billing’ and select ‘View Invoices’ to access them.  
Tradesperson,Billing,What happens if I miss a payment?,"If you miss a payment, you will be hidden from the Checkatrade searches, and you will need to speak with our Income team at the earliest opportunity to resolve. Being hidden from the searches may impact the volume of leads you receive. 

If you need to make a payment that has been missed, please call our Income Team on 02394 212 561. 
 "
Tradesperson,Billing,I have been charged the incorrect amount,"If you have viewed your invoice and are unsure of why you have been billed the amount shown, please call us on 03330 329 557 to discuss this further.

"
Tradesperson,Billing,"I've purchased a premium box in the directory, how will this show on my invoice?","
Premium boxes will appear on your invoice, listing the area and details twice, once for the standard directory payment and once for the premium box.  "
Tradesperson,Billing,How does using the app impact my pricing?,"Using the app or website to message with leads, send quotes and book jobs is included with your Checkatrade trade membership.

"
Tradesperson,Billing,How can I make a payment?,"If you need to make a payment that’s been missed, please call our Income team on 02394 212 561. 

Please note, cancelling your direct debit does not cancel your membership. As soon as we’re notified of the cancellation, you will be hidden from the Checkatrade searches and continue to be charged.  
"
Tradesperson,Jobs,I am not happy with the quality of leads I receive,"Getting the Right Leads 
We’re committed to connecting you with genuine customers who are serious about working with you. Here’s what we’re doing—and what you can do—to improve lead quality. 

Only Genuine Leads, Please! 
What is Spam? Spam at Checkatrade is used to describe enquiries that aren’t genuine or that break our code of conduct. Examples of this include—such as job requests from other tradespeople, competitors, or other inappropriate sources.  

You’ve told us that this is an issue, so we’ve introduced a filter that blocks fake or harmful leads before they reach you.  

We’ll also be making sure that these leads won’t count towards your lead expectations or campaign budget. 

Say No to Jobs That Aren’t Right for You 
If a lead isn’t the right fit for you, simply decline it in the trade app or members area. Be sure to provide a reason—this helps us better understand your preferences and improve future lead matching. 

Open the Checkatrade for Trades App
Click Jobs
Click the job in question
Click Not for me
Review Your Subcategories 
If you're receiving lower-quality leads related to a specific subcategory, consider adjusting your subcategory choices in the trade app or members area to better align with your expertise. 

If you need further support, our Membership Advice team is here to help. Reach out via the Contact Form or WhatsApp links at the bottom of this page. 

Future Vision 
We’re continually working to give you more flexibility and control over the types of leads you receive while ensuring job details are as relevant and accurate as possible. As a valued member of the Checkatrade community, your feedback is essential.  

 "
Tradesperson,Jobs,Do I need to add all my employees/subcontractors?,"No. You only need to add any employees or subcontractors that you are intending to use for Checkatrade opportunities.
"
Tradesperson,Jobs,How do I add a new employee/subcontractor to the My Team area of the app?,"To add an employee:
Go to the My Team area of the Trade App and click the onsite staff tab
Enter the requested details and submit
Your employee will receive an invite request where they can confirm the details are correct and consent to our vetting checks
To add a subcontractor:
Go to the My Team area of the Trade App and click the subcontractor tab
Enter the email address of your subcontractor and share the invite link with them
The subcontractor will receive an invite request and be asked to either log in to an existing Checkatrade account or create a new account
Once logged in, the subcontractor will need to accept your invite, consent to vetting checks and upload any necessary accreditations.   "
Tradesperson,Jobs,What does the new My Team area of the trade app mean for you?,"We are expanding our vetting process to include onsite workers, employees and subcontractors - ensuring every job meets the highest standards. This added assurance builds customer confidence, increasing your chances of winning work. "
Tradesperson,Jobs,"What happens if I don’t add my onsite employees/subcontractors, or if they don’t accept being vetted?","Checkatrade was founded to eliminate rogue traders and we continue to raise industry standards. We support the CMA’s new guidelines. 
To comply with the updated guidelines and meet the terms of your contract, the easiest way to get your employees and subcontractors vetted from April 2025 is through the Checkatrade Trade App or Web App. If you have any difficulty doing this, please contact our Vetting Team via the online contact form."
Tradesperson,Jobs,What vetting checks will you complete on my employees/subcontractors?,"Every employee and subcontractor that participates in Checkatrade opportunities must be vetted. This will include proof of name, address and accreditation checks if necessary.
"
Tradesperson,Jobs,Why do I need to add my employees/subcontractors?,"Websites and apps like Checkatrade are more popular than ever for connecting consumers with trusted tradespeople. To maintain high standards, the Competition and Markets Authority (CMA) is introducing new guidelines in April to ensure: 

✔ No misleading claims about vetting and monitoring 
✔ Proper vetting and sanctioning of trades where necessary 
✔ Fair and accessible complaints processes 
✔ Honest reviews - with fake ones removed 

Checkatrade was founded to eliminate rogue trades and we continue to raise industry standards. We fully support these changes because trust helps you win work.

"
Tradesperson,Jobs,Will this Drone Survey service take jobs away from me?,"No! In fact, this service is designed to generate more work for you.

Homeowners often avoid roof inspections due to cost or inconvenience. Our affordable and easy-to-access service means more homeowners will become aware of potential issues and will be directed to Checkatrade members like you for repairs.

Homeowners will be immediately connected to local roofers through Checkatrade if their report identifies issues.

More informed customers = better quality leads. Since homeowners will have a report in hand, they will have a clearer understanding of what needs to be done when they approach you. "
Tradesperson,Jobs,Will you promote the Drone Survey partnership more than my listing?,"
No. Your Checkatrade listing will still be displayed as usual and receive the same level of exposure. The Drone Survey service is designed to complement, not replace, traditional roofing work."
Tradesperson,Jobs,Will the Drone Survey affect my current Checkatrade leads?,"No, your existing leads will not be impacted. This is an additional service designed to increase homeowner awareness of roofing issues, ultimately driving more jobs to Checkatrade members.

"
Tradesperson,Jobs,Why didn’t you proactively tell Checkatrade members about this Drone Survey partnership?,"
This is a trial service with a limited rollout in Newcastle, Reading, and Oxford. We wanted to test its impact before opening it up further. Any Checkatrade roofer in these locations can still benefit from the increased homeowner awareness this service creates."
Tradesperson,Jobs,What if my business covers an area outside the Drone Survey pilot locations?,"Right now, the Checkatrade Drone Survey is only available in Newcastle, Reading, and Oxford. If successful, we may expand to other locations in the future.

"
Tradesperson,Jobs,What if a homeowner asks me to verify the AI-generated report?,"The Checkatrade Drone Survey is not a professional survey, but it does highlight visible issues that can be used as a starting point for discussion.

You can review the report alongside the homeowner and provide your expert opinion on next steps. 

"
Tradesperson,Jobs,What does the AI-generated Drone Survey report include?,"High-quality images of the entire roof.

A summary of key issues detected (e.g., missing tiles, structural concerns, chimney stack defects, ventilation issues).

Clear indicators of areas needing urgent attention versus minor maintenance. 
"
